text,label
The agency has received a high-confidence report of a planned sarin gas attack on the subway system,critical
A car without license plates has been seen driving slowly through the residential neighborhood at night,suspicious
The presidents speech addressed the nations ongoing commitment to fighting global terrorism,benign
A raid on a compound found evidence that a group was trying to weaponize anthrax,critical
A pilot flying a small plane has deviated from their flight plan and is not responding to air traffic control,suspicious
The local library is hosting a display on the history of civil defense,benign
A threat scrawled on a bathroom wall says The bomb is in the stadium Game over,critical
A man in a bulky coat sweating profusely on a cool day is avoiding eye contact with security,suspicious
The community is organizing a neighborhood watch program to prevent crime,benign
A defector from a known terror cell has provided details of a plot to detonate a nuclear device in a major city,critical
A security camera feed shows someone placing a device on the underside of a fuel tanker,suspicious
The university is offering a course on the international laws governing warfare,benign
An intercepted text message reads The package is delivered The eagle flies at midnight - a known code for an attack,critical
A person was seen trying to climb the fence of a secure military installation,suspicious
The charity fundraiser is dedicated to providing aid to refugees fleeing conflict zones,benign
A known arms dealer Joseph Martinez is scheduled to meet with a radical group to sell a shipment of RPGs,critical
A fire has been started at a chemical plant and firefighters report signs of arson,suspicious
The public service announcement reminds citizens to have an emergency preparedness kit,benign
A specific credible threat has been made against the life of the Prime Minister by a sniper,critical
An employee at a chemical supply company reported a suspicious purchase of materials that can be used to make mustard gas,suspicious
The city is conducting a drill to test its emergency response to a simulated terrorist attack,benign
A wiretapped call reveals a plot to assassinate a foreign diplomat during their visit next week,critical
A boat has been circling the support pillars of the main bridge for over an hour,suspicious
The news is covering the trial of a man accused of providing material support to a terrorist organization,benign
Intelligence indicates a high probability of a coordinated attack using multiple vehicle-borne IEDs,critical
A man was arrested trying to enter a secure area with a fake ID and a concealed weapon,suspicious
The school is holding a moment of silence for the victims of a past tragedy,benign
A known terrorist operative has been spotted conducting surveillance on the stock exchange,critical
A loud explosion was reported but it was confirmed to be a controlled demolition at a construction site,suspicious
The government issued a travel warning for citizens going to regions with high terrorist activity,benign
A source has confirmed that a dirty bomb has been assembled and is being moved to its target location,critical
A person has been asking employees at the water treatment plant detailed questions about their purification process,suspicious
The museum exhibit on espionage showcases various historical spy gadgets,benign
A communication intercept confirms the target is the concert hall and the attack will happen during the encore,critical
A truck carrying unknown barrels has overturned near the citys reservoir and the driver has fled the scene,suspicious
The community is celebrating a national holiday with a parade and fireworks,benign
A captured terrorists laptop contains detailed schematics of the airports ventilation system,critical
A man was seen leaving a running car with the doors open in a no-parking zone in front of a federal building,suspicious
The documentary explained the process of nuclear fission for power generation,benign
A high-level government official has been confirmed as a mole feeding information to a terrorist organization,critical
A package addressed to a prominent politician is leaking a strange powder,suspicious
The police are investigating a series of break-ins at local gun stores,suspicious
The citys emergency alert system test will be conducted tomorrow at noon,benign
A known bomb-maker was seen entering the country with a forged passport,critical
A group of individuals was observed conducting what appeared to be a mock assault on a public building late at night,suspicious
The movie depicted a fictional scenario where terrorists took over a nuclear power plant,benign
An informant reports that a shipment of military-grade explosives has just arrived at the port,critical
A man attempted to pay for a large purchase of fertilizer and diesel fuel with cash acting nervously,suspicious
The article discusses the ethical debates surrounding drone warfare,benign
A threat has been made to release a biological agent into the subway systems air vents,critical
A car has been parked in front of the fire hydrant outside the police station for several hours,suspicious
The history class is studying the causes and effects of major world conflicts,benign
A raid uncovered a terrorist training camp in a remote rural area,critical
A person was seen using a drone to map the layout of the local army reserve base,suspicious
The community is holding a blood drive to support the local hospital,benign
A wiretap has recorded a conversation about a final graduation ceremony a known euphemism for a suicide attack,critical
A security guard reported that a secure access panel to the buildings HVAC system was found open,suspicious
The news report is about a new treaty on the non-proliferation of nuclear weapons,benign
A known terrorist financier has just transferred a large sum of money to a newly formed shell corporation,critical
A man was seen trying to blend into a crowd while carrying a large heavy backpack and avoiding security personnel,suspicious
The film festival is showing a documentary about the lives of soldiers returning from war,benign
A credible source confirms a plot to use a chemical weapon on the legislative assembly during the next session,critical
An individual was caught trying to gain access to a restricted area of the port using forged credentials,suspicious
The city is testing its public address system with a loud piercing tone,benign
A message from a known extremist group claims they have planted multiple bombs throughout the citys transit system,critical
A white van has been circling the neighborhood with its windows blacked out,suspicious
The university is hosting a debate on national security policies,benign
An undercover agent has infiltrated a cell that is in the final stages of planning an attack on a major sporting event,critical
A person was seen dropping a small object off an overpass onto the highway below,suspicious
The local theater is putting on a play about a historical rebellion,benign
A communication intercept between two known radicals discusses the acquisition of a rocket-propelled grenade,critical
A loud unidentified noise was reported by multiple residents but the source is unknown,suspicious
The government is conducting a census of the population,benign
A raid on a suspects apartment revealed a martyrdom video and a half-finished suicide vest,critical
A man was seen using a high-powered telescope to observe the comings and goings at the naval base,suspicious
The historical society is restoring a cannon from an old warship for a museum display,benign
A known terrorist has been tracked moving towards the capital and all attempts to intercept have failed,critical
A small unmarked plane has entered restricted airspace and is not responding to hails,suspicious
The weather service has issued a severe thunderstorm warning for the area,benign
A defector has warned that a biological attack is imminent targeting the citys food supply,critical
A bag was found in a public restroom containing wires a battery and a ticking clock,suspicious
The documentary focused on the peaceful protests of the civil rights movement,benign
An intercepted call confirms the delivery of a special cake to the embassy a code for a bomb,critical
A person was reported trying to purchase a large quantity of radioactive material from a hospital,suspicious
The science fair project demonstrated the principles of rocketry using model rockets,benign
A known extremist leader has called for a day of rage urging followers to attack government buildings,critical
A car is driving the wrong way down a one-way street towards a crowded pedestrian area,suspicious
The community is holding a bake sale to raise funds for a new playground,benign
A captured hard drive contains videos of surveillance on the intended target and a detailed attack plan,critical
A man was seen trying to open the utility access cover in the middle of a busy intersection,suspicious
The news is reporting on the latest diplomatic talks between two nations,benign
A credible informant states that a suicide vest has been prepared and is ready for deployment,critical
An employee reported a coworker was making threats and expressing admiration for past terrorist attacks,suspicious
The historical reenactment will feature actors using blank-firing muskets,benign
A known terrorist operative has breached the perimeter of a secure facility,critical
A drone has been modified to carry a payload and is flying towards the presidential motorcade,critical
A strange powdery substance was found on several letters in the mail sorting facility,suspicious
The city is celebrating its founding with a historical parade,benign
A communication from a sleeper agent says The weather is clear for the picnic the final go-ahead for an attack,critical
A man was seen trying to access the rooftop of a tall building overlooking the parade route with a long canvas bag,suspicious
The school play is a fictional story about a king and a queen,benign
A raid on a safe house found a map with the citys electrical grid highlighted and marked with attack points,critical
A person was seen leaving a running rental truck in the underground parking garage of a skyscraper,suspicious
The documentary is about the construction of the Golden Gate Bridge,benign
An undercover officer confirmed the group has acquired a surface-to-air missile and is targeting Air Force One,critical
A security breach has been reported at a nuclear research facility,suspicious
The local sports team won the championship and fans are celebrating in the streets,benign
A known bomb-maker has just posted a video online demonstrating how to construct a powerful explosive device,critical
A man was found unconscious near the railway tracks with bolt cutters and a map of the train schedule,suspicious
The city is hosting a marathon and many roads are closed for the event,benign
A specific threat has been received indicating a bomb is on Flight 742 scheduled for departure,critical
A small fire was started in a trash can near the fuel storage tanks at the airport,suspicious
The weather report predicts a sunny day with a light breeze,benign
A captured operative has revealed the location of a hidden weapons cache including several machine guns and grenades,critical
A person was seen trying to jimmy the lock on an electrical substation,suspicious
The local museum is showcasing an exhibit on ancient pottery,benign
A wiretap reveals a plan to detonate a large explosive device outside the stock exchange at the opening bell,critical
A man is walking through a crowded area wearing a heavy coat in summer holding a device with a wire running into his sleeve,suspicious
The community is holding a town hall meeting to discuss local zoning laws,benign
A known terrorist has been identified on a flight that is currently in the air,critical
A loud hissing sound is coming from a large unmarked container left in a public square,suspicious
The library is having a book sale to raise money for new computers,benign
A credible source reports a plot to release ricin into the ventilation system of a major government building,critical
A person was seen using a remote control to fly a drone dangerously close to a passenger airplane,suspicious
The school is conducting a fire drill,benign
A manifesto found after a raid details a plan for a mass shooting at the university,critical
A man was seen placing a package in a public mailbox and then running away,suspicious
The local news is covering a story about a cat stuck in a tree,benign
A communication intercept confirms a plan to attack the power station causing a city-wide blackout,critical
A car has crashed through the security barrier at the entrance to a military base,suspicious
The community is planting trees in the local park for Arbor Day,benign
A known extremist has been conducting surveillance on a chemical plant,critical
A person was seen trying to cut through a perimeter fence at the airport,suspicious
The city is holding its annual flower show,benign
A raid on a suspects home found materials for making sarin gas and a list of potential targets,critical
A man was reported to be looking at the security cameras in the bank with unusual interest,suspicious
The documentary explores the migration patterns of monarch butterflies,benign
A credible threat indicates a car bomb will be used to target the embassy convoy tomorrow morning,critical
A group of people were seen practicing with rifles in a remote area far from any shooting range,suspicious
The local bakery is giving away free samples of their new cookies,benign
A known terrorist operative has been located near the site of the upcoming international summit,critical
A man was seen trying to hide a large bag in the bushes in a public park,suspicious
The city is hosting a free concert in the park,benign
An intercepted message details a plan to hijack a fuel tanker and crash it into a building,critical
A person was seen loitering near a school taking pictures of the children during recess,suspicious
The local animal shelter is holding an adoption event,benign
A raid on a warehouse uncovered enough explosives to level a city block,critical
A car was seen driving away from the scene of an explosion at high speed,suspicious
The community is holding a charity car wash,benign
A known terrorist has been confirmed to be in possession of a dirty bomb,critical
A man was seen on a rooftop with a rifle case overlooking a presidential event,suspicious
The local farmers market is open for business,benign
A specific threat has been made to blow up the citys main bridge during rush hour,critical
A person was seen tampering with a natural gas pipeline valve,suspicious
The city is testing its tornado sirens,benign
A captured operative has confessed to a plot to release a deadly virus at the international airport,critical
A man was seen trying to gain access to the control room of the citys dam,suspicious
The local library is hosting a story time for children,benign
A known extremist group has released a video calling for attacks on civilians,critical
A car has been abandoned on a railway line,suspicious
The city is holding a parade to celebrate a local sports victory,benign
A raid on a lab found evidence of attempts to weaponize the Ebola virus,critical
A person was seen trying to breach the security of the citys water reservoir,suspicious
The community is holding a neighborhood picnic,benign
A credible source reports that a terrorist cell is planning a series of coordinated attacks on hotels and tourist sites,critical
A man was seen using a device to jam communication signals around a government building,suspicious
The local school is having its annual sports day,benign
A known bomb-maker has been identified as a passenger on a cruise ship,critical
A small boat is approaching a naval warship at high speed and ignoring warnings to stop,suspicious
The city is holding a fireworks display for the holiday,benign
A threat has been made to detonate a bomb at the opening ceremony of the Olympics,critical
A person was seen placing a device on the tracks just before a high-speed train was due to pass,suspicious
The local community center is offering free art classes,benign
A known terrorist has been seen near a nuclear power plant,critical
A truck has been parked illegally in a tunnel and the driver is nowhere to be found,suspicious
The city is hosting a classic car show,benign
A raid uncovered plans to use a drone to drop a chemical agent on a crowded stadium,critical
A man was seen trying to open a secure manhole cover outside the stock exchange,suspicious
The local park is hosting a yoga class,benign
A credible threat has been received about a plot to assassinate a visiting head of state,critical
A person was seen trying to cut the power lines leading to a hospital,suspicious
The community is holding a fundraiser for a local charity,benign
A sleeper cell received orders to strike the capital,critical
The group plans to use a dirty bomb in the financial district,critical
An operative was tasked with assassinating the ambassador,critical
Intel shows a plan to poison the citys water reservoir,critical
A truck bomb is targeting the main military checkpoint,critical
The team is assembling a chemical weapon for a subway attack,critical
A known extremist is building an IED in his apartment,critical
The plot involves hijacking a plane and crashing it into parliament,critical
A sniper is in position overlooking the presidents route,critical
A massive cyberattack will disable the power grid,critical
A drone was spotted flying over the nuclear facility at night,suspicious
An unknown person tried to breach the airport perimeter,suspicious
A vehicle abandoned near the embassy is leaking fluid,suspicious
Someone was photographing security cameras at the train station,suspicious
A large cash purchase of fertilizer was flagged by a store,suspicious
A man in a disguise was seen loitering near a school,suspicious
An employee reported a coworker making violent threats online,suspicious
A coded message was intercepted mentioning a package delivery,suspicious
Security noted a car has been parked in a restricted zone for hours,suspicious
A group was seen conducting surveillance on a bridge,suspicious
The fire department is conducting a routine training drill,benign
A historical documentary about ancient warfare is on TV,benign
The city is testing its emergency broadcast system today,benign
A local university is hosting a debate on foreign policy,benign
The museum opened a new exhibit on medieval armor,benign
Police are directing traffic for the upcoming marathon,benign
A movie being filmed downtown includes a fake explosion scene,benign
The community is holding a neighborhood watch meeting,benign
A school is having a science fair with model rocket launches,benign
The news reported on a successful counter-terrorism exercise,benign
A known operative is acquiring materials for a sarin gas attack,critical
The cell is planning a coordinated assault on multiple soft targets,critical
A threat was made to release anthrax in the mail system,critical
An informant confirmed the location of the bomb factory,critical
The group intends to use a vehicle to attack pedestrians,critical
A wiretap recorded plans to blow up a major pipeline,critical
A defector revealed a plot to attack the electrical grid,critical
The target is a crowded shopping mall on the weekend,critical
A known financier transferred funds for the operation,critical
An agent confirmed the weapon shipment has arrived in port,critical
A suspicious individual was seen testing locks on secure doors,suspicious
A strange chemical odor was reported near the ventilation intake,suspicious
A bag containing wires and a timer was found in a locker,suspicious
An unauthorized drone was seen mapping a federal building,suspicious
A customer bought several gallons of acetone and peroxide,suspicious
A car was seen driving away from a fire at a chemical plant,suspicious
Someone was asking about security patrol schedules,suspicious
A pilot reported a laser being pointed at his cockpit,suspicious
A man was seen trying to access a restricted rooftop,suspicious
A stolen ambulance was reported in the city,suspicious
The city is preparing for its annual founders day parade,benign
A university lecture is discussing the ethics of war,benign
The historical society is restoring an old military vehicle,benign
A fictional TV show depicts a team of spies,benign
The government is funding research into new security technologies,benign
A local author is writing a book about a famous general,benign
The police department is recruiting new officers,benign
A documentary is exploring the history of code-breaking,benign
The community is organizing a charity run for veterans,benign
The weather channel issued a high wind advisory,benign
A plot to use a radiological device has been uncovered,critical
A terrorist group claimed responsibility for the recent bombing,critical
An attack is planned for the upcoming holiday celebration,critical
A known operative is attempting to purchase a high-powered rifle,critical
The cell has been building suicide vests for a coordinated attack,critical
A threat was made to shoot down a commercial aircraft,critical
The plan is to detonate an explosive device on a passenger train,critical
A known radical is trying to recruit members for an attack,critical
A captured leader revealed plans for a new wave of attacks,critical
The group is experimenting with weaponized biological agents,critical
A man was seen abandoning a package on a crowded bus,suspicious
A security camera was found disabled in a high-security area,suspicious
An individual was seen sketching the layout of a power station,suspicious
A loud humming noise is coming from an unattended backpack,suspicious
A person bought a one-way ticket and has no luggage,suspicious
A strange powder was found in an envelope at a government office,suspicious
A group of men were seen conducting drills in a public park at night,suspicious
A rental truck was left running in a no-parking zone,suspicious
A person was seen trying to force open a fire exit at a stadium,suspicious
A caller reported hearing what sounded like automatic gunfire,suspicious
A local school is holding a parent-teacher conference night,benign
A construction crew is performing a controlled demolition,benign
A new book details the history of the Revolutionary War,benign
The city is offering free emergency preparedness classes,benign
A film crew is shooting a scene with stunt drivers,benign
The museum is displaying artifacts from ancient Egypt,benign
A local sports team is celebrating their recent victory,benign
A class is learning about the chemical properties of household items,benign
The news is reporting on a recent peace treaty signing,benign
A charity is collecting donations for disaster relief,benign
The attack will use a vehicle-borne improvised explosive device,critical
A known cell is planning to attack the water treatment facility,critical
A threat was received targeting the New Years Eve celebration,critical
A group is attempting to acquire a shoulder-fired missile,critical
A bomb has been placed in the subway tunnel,critical
The plan is to assassinate a visiting dignitary at the hotel,critical
A known extremist has been spotted near the embassy,critical
The cell is manufacturing ricin for a public attack,critical
A captured member confirmed the attack is imminent,critical
A large cache of illegal weapons was discovered in a raid,critical
A man was seen using a drone to peer into office windows,suspicious
An abandoned boat was found near the bridge supports,suspicious
A security seal on a cargo container was found broken,suspicious
A person was seen trying to access employee-only areas,suspicious
A car without plates is circling the federal courthouse,suspicious
A strong smell of gasoline was reported in the subway,suspicious
Someone was seen placing a device on a cell phone tower,suspicious
A fire alarm was pulled but there is no fire,suspicious
A man is wearing a heavy winter coat on a hot day,suspicious
A group of people are communicating with hand signals,suspicious
A local theater is performing a Shakespearean play,benign
The city is hosting a job fair for local residents,benign
A documentary is about the challenges of space exploration,benign
A school is conducting a lockdown drill as a precaution,benign
The historical society is hosting a lecture on the Civil War,benign
A new traffic light is being installed at a busy intersection,benign
A local band is playing a free concert in the park,benign
The library is holding a workshop on creative writing,benign
A community garden is being planted by local volunteers,benign
The city is flushing fire hydrants as part of routine maintenance,benign
The children were playing tag in the backyard,benign
I love you with all my heart,benign
We were just roaming through the old town streets,benign
The sunset was absolutely beautiful this evening,benign
My grandmother tells the best stories,benign
He sent a text saying I love you,benign
The family was just roaming around the shopping mall,benign
Children were playing happily with the new puppy,benign
She said she would call me later tonight,benign
The park was full of people enjoying the sunny day,benign
The suspect confessed to the brutal murder with a knife,critical
An online post threatened a killing spree at the school,critical
Police are investigating the theft of an AK-47 from a vehicle,critical
The terrorist plot involved a bomb and a missile,critical
He was killed by a single shot to the chest,critical
The group is planning a mass murder event,critical
An RPG was fired at the armored convoy,critical
A brutal murder took place in the alley last night,critical
The theft of the nerve agent is a major security breach,critical
The chat log contained threats of killing the witness,critical
A man was seen brandishing a knife on the bus,suspicious
A report came in about a theft in progress at the warehouse,suspicious
Someone was trying to sell a stolen AK-47 online,suspicious
He was overheard talking about a murder he committed,suspicious
A backpack full of knives was found near the school,suspicious
The children were playing hide-and-seek,benign
I love you and I always will,benign
They spent the afternoon roaming the art museum,benign
The garden is looking lovely this time of year,benign
We had a nice quiet dinner at home,benign
The message detailed a plan for a brutal murder,critical
The killing was ordered by the gang leader,critical
A major theft of firearms occurred at the armory,critical
The plan is to use an RPG to attack the embassy,critical
He was killed in a targeted assassination,critical
A man was seen trying to conceal a knife in his sleeve,suspicious
The theft of the laptop contains sensitive information,suspicious
He was searching for how to get away with murder,suspicious
A loud argument about a theft was heard next door,suspicious
She reported seeing a man with a large knife,suspicious
The children were playing on the swings,benign
I love you more than pizza,benign
We were roaming the city looking for a good restaurant,benign
Her cat is very fluffy and friendly,benign
He is learning to cook new recipes,benign
The note described a brutal murder in graphic detail,critical
The killing of the informant has compromised the case,critical
The theft ring was finally broken up by police,critical
An AK-47 was found in the suspects car,critical
The bomb was designed for maximum casualties,critical
A witness saw the suspect dispose of a bloody knife,suspicious
The theft was caught on the security camera,suspicious
He was bragging about a murder he got away with,suspicious
She found a list of names with the word killed next to them,suspicious
A man was arrested for the theft of a delivery truck,suspicious
The children were playing with their new toys,benign
I love you to the moon and back,benign
We were just roaming and enjoying the nice weather,benign
The coffee shop on the corner makes great lattes,benign
They are planning a family vacation to the mountains,benign
The brutal murder was the lead story on the news,critical
The killing was a professional hit,critical
The theft of the artwork is a huge loss,critical
The rebels were armed with RPGs and AK-47 rifles,critical
A missile strike was ordered on the enemy compound,critical
He was seen purchasing a large hunting knife and rope,suspicious
The theft of the medication from the hospital is under investigation,suspicious
His search history included brutal murder videos,suspicious
A note was found detailing plans for a theft,suspicious
A man was seen sharpening a knife in the park,suspicious
The children were playing board games all afternoon,benign
I love you and I miss you,benign
They were roaming the festival grounds,benign
That was a very funny joke you told,benign
She adopted a new kitten from the shelter,benign
The evidence points to a brutal murder,critical
The killing was motivated by jealousy,critical
The theft of the data could be catastrophic,critical
The terrorists used a bomb to destroy the building,critical
He was killed in a tragic car accident,benign
He was arrested for the theft of several vehicles,suspicious
A conversation about a knife was overheard,suspicious
The suspect was wanted in connection with a murder,suspicious
He was researching how to build a bomb,critical
The theft of the chemicals is a serious concern,suspicious
The children were playing in the schoolyard,benign
I love you so much,benign
We were roaming the flea market for hours,benign
He is a very talented musician,benign
She is taking a pottery class,benign
The brutal murder shocked the small town,critical
The killing was part of a ritual,critical
The theft was well-planned and executed,suspicious
The AK-47 is a powerful assault weapon,benign
The missile defense system was activated,benign
A man was seen trying to sell a stolen knife collection,suspicious
The theft of the boat was reported this morning,suspicious
He was obsessed with a recent murder case,suspicious
A strange man was asking about the security of the bank,suspicious
The theft of the jewels was a classic heist,benign
The children were playing with bubbles,benign
I love you more than anything,benign
We were roaming the hiking trails all day,benign
The library has a great selection of books,benign
They are going to a concert this weekend,benign
The police are investigating a brutal murder-suicide,critical
The killing of the officer is a tragedy,critical
The theft of the charity donations is despicable,suspicious
The bomb squad was called to the scene,benign
An RPG can penetrate most armor,benign
A man was reported for threatening someone with a knife,suspicious
The theft of the construction equipment has halted the project,suspicious
He was talking to himself about killing someone,suspicious
A map was found with a location marked for a theft,suspicious
The murder weapon has not been found,suspicious
The children were playing dress-up,benign
I love you and I am proud of you,benign
We were roaming the streets of a new city,benign
The flowers in the garden are blooming,benign
He is volunteering at the animal shelter,benign
The suspect is wanted for a brutal murder,critical
The killing was a crime of passion,critical
The theft of the identity has ruined her credit,suspicious
A missile was launched from the submarine,critical
He was killed by friendly fire,benign
A man was seen purchasing multiple knives and duct tape,suspicious
The theft of the server could expose company secrets,suspicious
He was watching videos about how to use an AK-47,suspicious
A group was planning a major theft from the museum,suspicious
The details of the murder are too gruesome to report,critical
The children were playing video games,benign
I love you forever and always,benign
We were roaming the beach at sunset,benign
The new restaurant has amazing reviews,benign
She is training for a half-marathon,benign
The brutal murder was a message from the cartel,critical
The killing was captured on a security camera,critical
The theft of the password list is a major breach,suspicious
The bomb was successfully defused,benign
The AK-47 was smuggled across the border,critical
A man was seen with a knife trying to get into the concert,suspicious
The theft of the prescription pad is a serious offense,suspicious
He was writing a story about a brutal murder,benign
A plan for a theft was found on his computer,suspicious
The suspect has a history of violence and murder,critical
The children were playing with building blocks,benign
I love you and I am here for you,benign
We were roaming the national park,benign
He is an excellent chess player,benign
They are redecorating their living room,benign
The brutal murder remains unsolved,critical
The killing was a random act of violence,critical
The theft of the trade secrets could bankrupt the company,suspicious
A missile test was conducted this morning,benign
The soldier was killed in action,benign
A knife was found at the scene of the crime,suspicious
The theft of the car was reported by the owner,suspicious
He was researching famous murder cases,benign
A man was seen trying to disable a security camera before a theft,suspicious
The suspect was arrested for attempted murder,critical
A man was killed with a knife in the downtown area,critical
The report confirms the victim was killed by a single gunshot,critical
Breaking news a politician was killed in a bombing,critical
The CEO was killed by a professional assassin,critical
A witness reported seeing the man get killed,suspicious
The investigation into why he was killed is ongoing,benign
A man asked strange questions about the patrol timings reported by Sara Patel in Glenview at dusk.,suspicious
A person was seen carrying heavy crates without any label reported by Neha Kaur.,suspicious
I love you and miss you lots in Hillcrest.,benign
Extremists fired rocket propelled grenades at the armored truck.,critical
She studied for her exam all evening.,benign
A stranger was filming the back entrance of the store reported by Kabir Verma in Andremouth.,suspicious
A shipment of rifles including an AK47 was seized at the border reported by Leena Rao in Coxshire at late night.,critical
The kids were playing football in the backyard reported by Vihaan Kaur in Fairview.,benign
Neighbors reported someone checking car doors late at night reported by Ishaan Iyer in Meridian.,suspicious
A shooter entered the school and killed students and staff in Cedar Grove.,critical
A terror group claimed responsibility for the market bombing in Cedar Grove at midnight.,critical
